iter,t,x,y,theta,vx,vy
99,2.475000,811.392857,320.000000,0.000000,1.800000,0.000000
100,2.500000,812.285714,320.000000,0.000000,1.800000,0.000000
101,2.525000,813.178571,320.000000,0.000000,1.800000,0.000000
102,2.550000,814.071429,320.000000,0.000000,1.800000,0.000000
103,2.575000,814.964286,320.000000,0.000000,1.800000,0.000000
104,2.600000,815.857143,320.000000,0.000000,1.800000,0.000000
105,2.625000,816.750000,320.000000,0.000000,1.800000,0.000000
106,2.650000,817.454569,320.454569,0.572974,1.512526,0.975841
107,2.675000,818.121501,321.000000,0.685514,1.393369,1.139527
108,2.700000,819.014358,321.000000,0.000000,1.800000,0.000000
109,2.725000,819.907215,321.000000,0.000000,1.800000,0.000000
110,2.750000,820.800072,321.000000,0.000000,1.800000,0.000000
111,2.775000,821.692929,321.000000,0.000000,1.800000,0.000000
112,2.800000,822.585786,321.000000,0.000000,1.800000,0.000000
113,2.825000,823.478644,321.000000,0.000000,1.800000,0.000000
114,2.850000,824.371501,321.000000,0.000000,1.800000,0.000000
115,2.875000,825.264358,321.000000,0.000000,1.800000,0.000000
116,2.900000,826.157215,321.000000,0.000000,1.800000,0.000000
117,2.925000,827.050072,321.000000,0.000000,1.800000,0.000000
118,2.950000,827.942929,321.000000,0.000000,1.800000,0.000000
119,2.975000,828.835786,321.000000,0.000000,1.800000,0.000000
120,3.000000,829.728644,321.000000,0.000000,1.800000,0.000000
121,3.025000,830.621501,321.000000,0.000000,1.800000,0.000000
122,3.050000,831.514358,321.000000,0.000000,1.800000,0.000000
123,3.075000,832.407215,321.000000,0.000000,1.800000,0.000000
124,3.100000,833.300072,321.000000,0.000000,1.800000,0.000000
125,3.125000,834.136422,321.136422,0.161692,1.776521,0.289778
126,3.150000,834.767767,321.767767,0.785398,1.272792,1.272792
127,3.175000,835.564430,322.000000,0.283647,1.728074,0.503746
128,3.200000,836.457287,322.000000,0.000000,1.800000,0.000000
129,3.225000,837.350144,322.000000,0.000000,1.800000,0.000000
130,3.250000,838.243001,322.000000,0.000000,1.800000,0.000000
131,3.275000,839.135859,322.000000,0.000000,1.800000,0.000000
132,3.300000,840.028716,322.000000,0.000000,1.800000,0.000000
133,3.325000,840.921573,322.000000,0.000000,1.800000,0.000000
134,3.350000,841.814430,322.000000,0.000000,1.800000,0.000000
135,3.375000,842.707287,322.000000,0.000000,1.800000,0.000000
136,3.400000,843.600144,322.000000,0.000000,1.800000,0.000000
137,3.425000,844.493001,322.000000,0.000000,1.800000,0.000000
138,3.450000,845.385859,322.000000,0.000000,1.800000,0.000000
139,3.475000,846.278716,322.000000,0.000000,1.800000,0.000000
140,3.500000,847.171573,322.000000,0.000000,1.800000,0.000000
141,3.525000,848.064430,322.000000,0.000000,1.800000,0.000000
142,3.550000,848.957287,322.000000,0.000000,1.800000,0.000000
143,3.575000,849.850144,322.000000,0.000000,1.800000,0.000000
144,3.600000,850.743001,322.000000,0.000000,1.800000,0.000000
145,3.625000,851.635859,322.000000,0.000000,1.800000,0.000000
146,3.650000,852.528716,322.000000,0.000000,1.800000,0.000000
147,3.675000,853.421573,322.000000,0.000000,1.800000,0.000000
148,3.700000,854.314430,322.000000,0.000000,1.800000,0.000000
149,3.725000,855.207287,322.000000,0.000000,1.800000,0.000000
